src,trg,weight
Harry Potter,Corban Yaxley,5
Harry Potter,George III,4
Harry Potter,Draco Malfoy,1
Harry Potter,Kingsley Shacklebolt,6
Harry Potter,Stanley Shunpike,4
Harry Potter,Peter,1
Harry Potter,Fred Weasley,6
Harry Potter,Charles Weasley,1
Harry Potter,Cole,2
Harry Potter,Mykew Gregorovitch,2
Harry Potter,Horace Slughorn,2
Harry Potter,Neville Longbottom,9
Harry Potter,Dirk Cresswell,2
Harry Potter,Zacharias Smith,1
Harry Potter,William Weasley,8
Harry Potter,Tom Riddle,3
Harry Potter,Goyle,3
Harry Potter,Armando Dippet,1
Harry Potter,Fang,3
Harry Potter,Percy Weasley,2
Harry Potter,Aragog,1
Terry Boot,Ernest Macmillan,1
Terry Boot,Parvati Patil,1
Terry Boot,Michael Corner,1
Terry Boot,Anthony Goldstein,1
Gornuk,Hermione Granger,1
Gornuk,Griphook,1
Gornuk,Dirk Cresswell,1
Alecto Carrow,Violet,1
Petunia Dursley,Lily L. Potter,3
Petunia Dursley,Severus Snape,2
Rita Skeeter,Aberforth Dumbledore,1
Rita Skeeter,Elphias Doge,1
Rita Skeeter,Muriel,2
Rita Skeeter,Ronald Weasley,1
Rita Skeeter,Albus Dumbledore,8
Rita Skeeter,Armando Dippet,1
Lee Jordan,Hannah Abbott,1
Lee Jordan,Cho Chang,1
Lee Jordan,Antonin Dolohov,1
Lee Jordan,Ginevra Weasley,1
Lee Jordan,Corban Yaxley,1
Lee Jordan,George III,1
Lee Jordan,Fred Weasley,2
Lee Jordan,Walden Macnair,1
Aberforth Dumbledore,Muriel,1
Aberforth Dumbledore,Ronald Weasley,2
Aberforth Dumbledore,Ariana Dumbledore,2
Aberforth Dumbledore,Albus Dumbledore,5
Fenrir Greyback,Ronald Weasley,1
Fenrir Greyback,Lucius Malfoy,4
Fenrir Greyback,Violet,1
Fenrir Greyback,Albus Dumbledore,1
Fenrir Greyback,Arthur,1
Fenrir Greyback,Neville Longbottom,1
Fenrir Greyback,William Weasley,1
Fenrir Greyback,Percy Weasley,1
Selina Moore,Ronald Weasley,1
Selina Moore,Hermione Granger,1
Dean Thomas,Edward Tonks,1
Dean Thomas,Fleur Delacour,1
Dean Thomas,Hermione Granger,1
Dean Thomas,Luisa,3
Dean Thomas,Griphook,3
Dean Thomas,William Weasley,2
Pius Thicknesse,Dedalus Diggle,1
Pius Thicknesse,Violet,1
Mary Cattermole,Dolores Umbridge,5
Mary Cattermole,Ronald Weasley,3
Mary Cattermole,Hermione Granger,3
Mary Cattermole,Corban Yaxley,2
Gellert Grindelwald,Viktor Krum,1
Gellert Grindelwald,Albus Dumbledore,3
Elphias Doge,Hermione Granger,1
Elphias Doge,Albus Dumbledore,4
Salazar Slytherin,Neville Longbottom,1
Rosie,Lily L. Potter,1
Rosie,Hermione Granger,1
Rosie,Albus Dumbledore,2
Colin Creevey,Oliver Wood,1
Colin Creevey,Minerva McGonagall,1
Dudley,Dedalus Diggle,1
Lily L. Potter,Peter James,6
Lily L. Potter,Severus Snape,8
Lily L. Potter,Violet,1
Lily L. Potter,Albus Dumbledore,1
Viktor Krum,Gerbold Ollivander,1
Viktor Krum,Hermione Granger,3
Viktor Krum,Mykew Gregorovitch,1
Rowena Ravenclaw,Tom Riddle,1
Luna Lovegood,Xenophilius Lovegood,2
Luna Lovegood,Hermione Granger,5
Luna Lovegood,Luisa,1
Luna Lovegood,Cadmus Peverell,1
Luna Lovegood,William Weasley,1
Seamus Finnigan,Hannah Abbott,1
Seamus Finnigan,Ronald Weasley,1
Seamus Finnigan,Hermione Granger,1
Grawp,Firenze,1
Grawp,Fang,1
Marvolo Gaunt,Hermione Granger,1
Muriel,Ronald Weasley,2
Muriel,Hermione Granger,2
Muriel,Ginevra Weasley,1
Muriel,Kendra Dumbledore,4
Muriel,Albus Dumbledore,2
Muriel,George III,1
Muriel,Lancelot (knight),1
Muriel,Fred Weasley,1
Edward Tonks,Fleur Delacour,1
Edward Tonks,Ronald Weasley,1
Edward Tonks,Bellatrix Lestrange,1
Edward Tonks,Remus Lupin,1
Edward Tonks,Rubeus Hagrid,3
Edward Tonks,Griphook,1
Edward Tonks,Fred Weasley,1
Edward Tonks,Dirk Cresswell,2
Salomé Lestrange,Hermione Granger,1
Salomé Lestrange,Griphook,1
Fleur Delacour,Ronald Weasley,14
Fleur Delacour,Hermione Granger,3
Fleur Delacour,Remus Lupin,1
Fleur Delacour,Rubeus Hagrid,1
Fleur Delacour,Griphook,2
Fleur Delacour,Davies,1
Fleur Delacour,Celestina Warbeck,1
Fleur Delacour,Albus Dumbledore,1
Fleur Delacour,Fred Weasley,1
Fleur Delacour,William Weasley,20
Hannah Abbott,Fred Weasley,1
Dolores Umbridge,Hermione Granger,6
Dolores Umbridge,Corban Yaxley,1
Cho Chang,Ronald Weasley,1
Cho Chang,Ginevra Weasley,1
Cho Chang,Luisa,1
Dedalus Diggle,Vernon Dursley,1
Dedalus Diggle,Hestia Jones,1
Charity Burbage,Severus Snape,1
Dobby,Ronald Weasley,1
Dobby,Hermione Granger,2
Katie Bell,Remus Lupin,1
Katie Bell,Oliver Wood,1
Katie Bell,Mundungus Fletcher,1
Katie Bell,Kreacher,1
Katie Bell,Alicia Spinnet,1
Katie Bell,Angelina Johnson,1
Katie Bell,Kingsley Shacklebolt,1
Katie Bell,William Weasley,1
Malkin,Narcissa Malfoy,1
Antonin Dolohov,Parvati Patil,1
Antonin Dolohov,Violet,1
Antonin Dolohov,Corban Yaxley,2
Antonin Dolohov,George III,1
Antonin Dolohov,Walden Macnair,1
Gerbold Ollivander,Ronald Weasley,2
Gerbold Ollivander,Hermione Granger,3
Gerbold Ollivander,Ginevra Weasley,1
Gerbold Ollivander,Luisa,4
Gerbold Ollivander,Lucius Malfoy,1
Gerbold Ollivander,Griphook,1
Gerbold Ollivander,Violet,1
Gerbold Ollivander,Albus Dumbledore,1
Gerbold Ollivander,Mykew Gregorovitch,2
Gerbold Ollivander,William Weasley,3
Xenophilius Lovegood,Ronald Weasley,5
Xenophilius Lovegood,Hermione Granger,6
Xenophilius Lovegood,Luisa,1
Xenophilius Lovegood,William Weasley,1
Ronald Weasley,Hermione Granger,181
Ronald Weasley,Helga Hufflepuff,1
Ronald Weasley,Bellatrix Lestrange,2
Ronald Weasley,Ernest Macmillan,1
Ronald Weasley,Ginevra Weasley,10
Ronald Weasley,Luisa,2
Ronald Weasley,Remus Lupin,4
Ronald Weasley,Rubeus Hagrid,3
Ronald Weasley,Bogrod,3
Ronald Weasley,Vernon Dursley,2
Ronald Weasley,Lucius Malfoy,4
Ronald Weasley,Myron Wagtail,1
Ronald Weasley,Mundungus Fletcher,1
Ronald Weasley,Crabbe,1
Ronald Weasley,Griphook,5
Ronald Weasley,Bartemius Crouch Junior,1
Ronald Weasley,Celestina Warbeck,1
Ronald Weasley,Kreacher,2
Ronald Weasley,Violet,4
Ronald Weasley,Albus Dumbledore,19
Ronald Weasley,Arthur,4
Ronald Weasley,George III,4
Ronald Weasley,Draco Malfoy,1
Ronald Weasley,Alicia Spinnet,1
Ronald Weasley,Angelina Johnson,1
Ronald Weasley,Kingsley Shacklebolt,4
Ronald Weasley,Fred Weasley,4
Ronald Weasley,Charles Weasley,1
Ronald Weasley,Mykew Gregorovitch,1
Ronald Weasley,Norberta,1
Ronald Weasley,Neville Longbottom,5
Ronald Weasley,Dirk Cresswell,3
Ronald Weasley,Crookshanks,1
Ronald Weasley,William Weasley,10
Ronald Weasley,Tom Riddle,1
Ronald Weasley,Goyle,1
Ronald Weasley,Percy Weasley,4
Hermione Granger,Marius Black,2
Hermione Granger,Bellatrix Lestrange,2
Hermione Granger,Ginevra Weasley,3
Hermione Granger,Luisa,2
Hermione Granger,Remus Lupin,2
Hermione Granger,Parvati Patil,1
Hermione Granger,Cadmus Peverell,1
Hermione Granger,Rubeus Hagrid,2
Hermione Granger,Bogrod,2
Hermione Granger,Mundungus Fletcher,1
Hermione Granger,Crabbe,1
Hermione Granger,Griphook,4
Hermione Granger,Kreacher,4
Hermione Granger,Severus Snape,2
Hermione Granger,Violet,10
Hermione Granger,Peter Jones,1
Hermione Granger,Narcissa Malfoy,1
Hermione Granger,Albus Dumbledore,18
Hermione Granger,Arthur,1
Hermione Granger,Corban Yaxley,2
Hermione Granger,George III,1
Hermione Granger,Kingsley Shacklebolt,1
Hermione Granger,Peter,1
Hermione Granger,Fred Weasley,3
Hermione Granger,Horace Slughorn,1
Hermione Granger,Norberta,1
Hermione Granger,Neville Longbottom,1
Hermione Granger,Crookshanks,1
Hermione Granger,William Weasley,5
Hermione Granger,Tom Riddle,1
Hermione Granger,Goyle,1
Hermione Granger,Percy Weasley,1
Nicolas Flamel,Severus Snape,1
Helga Hufflepuff,Ernest Macmillan,1
Ariana Dumbledore,Kendra Dumbledore,3
Ariana Dumbledore,Albus Dumbledore,6
Ariana Dumbledore,Lancelot (knight),1
Perseus Parkinson,Minerva McGonagall,1
Bellatrix Lestrange,Rubeus Hagrid,1
Bellatrix Lestrange,Lucius Malfoy,1
Bellatrix Lestrange,Narcissa Malfoy,3
Bellatrix Lestrange,Draco Malfoy,1
Ernest Macmillan,Parvati Patil,1
Ernest Macmillan,Michael Corner,1
Ernest Macmillan,Anthony Goldstein,1
Ginevra Weasley,Luisa,2
Ginevra Weasley,Peter James,1
Ginevra Weasley,Severus Snape,1
Ginevra Weasley,Violet,1
Ginevra Weasley,Albus Dumbledore,3
Ginevra Weasley,George III,1
Ginevra Weasley,Draco Malfoy,1
Ginevra Weasley,Kingsley Shacklebolt,1
Ginevra Weasley,Fred Weasley,1
Ginevra Weasley,Neville Longbottom,1
Luisa,Griphook,1
Luisa,Filius Flitwick,1
Luisa,Minerva McGonagall,3
Luisa,Kingsley Shacklebolt,1
Luisa,Horace Slughorn,1
Luisa,Neville Longbottom,3
Luisa,William Weasley,1
Remus Lupin,Oliver Wood,1
Remus Lupin,Violet,3
Remus Lupin,George III,3
Remus Lupin,Angelina Johnson,1
Remus Lupin,Kingsley Shacklebolt,3
Remus Lupin,Peter,2
Remus Lupin,Fred Weasley,1
Remus Lupin,William Weasley,3
Parvati Patil,Anthony Goldstein,1
Rubeus Hagrid,Peter James,1
Rubeus Hagrid,Violet,1
Rubeus Hagrid,Fred Weasley,1
Rubeus Hagrid,Fang,1
Bogrod,Griphook,5
Vernon Dursley,Albus Dumbledore,1
Vernon Dursley,Kingsley Shacklebolt,3
Vernon Dursley,Hestia Jones,2
Oliver Wood,Alicia Spinnet,1
Oliver Wood,Angelina Johnson,1
Oliver Wood,Kingsley Shacklebolt,1
Oliver Wood,William Weasley,1
Blythe Parkin,Severus Snape,1
Blythe Parkin,Albus Dumbledore,1
Lucius Malfoy,Crabbe,2
Lucius Malfoy,Severus Snape,2
Lucius Malfoy,Violet,3
Lucius Malfoy,Narcissa Malfoy,1
Lucius Malfoy,Arthur,1
Lucius Malfoy,Draco Malfoy,1
Lucius Malfoy,Cole,1
Lucius Malfoy,Goyle,3
Lucius Malfoy,Percy Weasley,1
Mundungus Fletcher,Kreacher,5
Mundungus Fletcher,Severus Snape,2
Mundungus Fletcher,Arthur,1
Crabbe,Goyle,1
Griphook,William Weasley,3
Griphook,Tom Riddle,1
Peter James,Severus Snape,4
Peter James,Albus Dumbledore,2
Peter James,Neville Longbottom,2
Davies,Albus Dumbledore,1
Kreacher,Violet,2
Kreacher,Albus Dumbledore,1
Molly Weasley,Violet,1
Severus Snape,Violet,7
Severus Snape,Minerva McGonagall,1
Severus Snape,Albus Dumbledore,21
Severus Snape,Corban Yaxley,3
Severus Snape,George III,1
Severus Snape,Draco Malfoy,1
Severus Snape,Fawkes,1
Violet,Narcissa Malfoy,1
Violet,Albus Dumbledore,13
Violet,Corban Yaxley,5
Violet,Kingsley Shacklebolt,1
Violet,Neville Longbottom,1
Filius Flitwick,Minerva McGonagall,2
Filius Flitwick,Albus Dumbledore,1
Filius Flitwick,Kingsley Shacklebolt,1
Narcissa Malfoy,Arthur,1
Narcissa Malfoy,Draco Malfoy,1
Narcissa Malfoy,Percy Weasley,1
Minerva McGonagall,Albus Dumbledore,1
Minerva McGonagall,Kingsley Shacklebolt,1
Albus Dumbledore,Draco Malfoy,2
Albus Dumbledore,Magnus,1
Albus Dumbledore,Fawkes,1
Albus Dumbledore,Kingsley Shacklebolt,1
Albus Dumbledore,Neville Longbottom,1
Albus Dumbledore,Godric Gryffindor,2
Arthur,Kingsley Shacklebolt,1
Arthur,Neville Longbottom,1
Arthur,Percy Weasley,1
Corban Yaxley,George III,1
Michael Corner,Anthony Goldstein,1
George III,Fred Weasley,16
George III,William Weasley,1
Alicia Spinnet,Angelina Johnson,1
Alicia Spinnet,William Weasley,1
Angelina Johnson,William Weasley,1
Kingsley Shacklebolt,William Weasley,1
Fred Weasley,Percy Weasley,2
Charles Weasley,Horace Slughorn,1
Charles Weasley,William Weasley,2
Neville Longbottom,Percy Weasley,1
