src,trg,weight
Seamus Finnigan,Nick Alas,1
Seamus Finnigan,Rubeus Hagrid,1
Seamus Finnigan,Quirinus Quirrell,2
Seamus Finnigan,Filius Flitwick,1
Nicholas de Mimsy-Porpington,Ronald Weasley,2
Nicholas de Mimsy-Porpington,Hermione Granger,3
Nicholas de Mimsy-Porpington,Rubeus Hagrid,1
Nicholas de Mimsy-Porpington,Albus Dumbledore,1
Malkin,Rubeus Hagrid,1
Gerbold Ollivander,Rubeus Hagrid,3
Ronald Weasley,Hermione Granger,57
Ronald Weasley,Parvati Patil,1
Ronald Weasley,Rubeus Hagrid,8
Ronald Weasley,Vernon Dursley,1
Ronald Weasley,Oliver Wood,2
Ronald Weasley,Blythe Parkin,1
Ronald Weasley,Lucius Malfoy,7
Ronald Weasley,Quirinus Quirrell,3
Ronald Weasley,Severus Snape,13
Ronald Weasley,Violet,1
Ronald Weasley,Filius Flitwick,1
Ronald Weasley,Minerva McGonagall,3
Ronald Weasley,Albus Dumbledore,2
Ronald Weasley,George III,1
Ronald Weasley,Draco Malfoy,2
Ronald Weasley,Norberta,1
Ronald Weasley,Fang,1
Ronald Weasley,Percy Weasley,1
Gordon,Vernon Dursley,1
Gordon,Percy Weasley,1
Hermione Granger,Ronan,2
Hermione Granger,Parvati Patil,1
Hermione Granger,Rubeus Hagrid,5
Hermione Granger,Lucius Malfoy,1
Hermione Granger,Quirinus Quirrell,2
Hermione Granger,Severus Snape,10
Hermione Granger,Violet,1
Hermione Granger,Filius Flitwick,1
Hermione Granger,Minerva McGonagall,5
Hermione Granger,Albus Dumbledore,2
Hermione Granger,Rolanda Hooch,1
Hermione Granger,Irma Pince,1
Hermione Granger,Norberta,3
Hermione Granger,Percy Weasley,2
Ronan,Rubeus Hagrid,2
Parvati Patil,Pansy Parkinson,1
Parvati Patil,Blythe Parkin,1
Rubeus Hagrid,Vernon Dursley,4
Rubeus Hagrid,Lucius Malfoy,1
Rubeus Hagrid,Healer (Diagon Alley),1
Rubeus Hagrid,Doris Crockford,1
Rubeus Hagrid,Griphook,1
Rubeus Hagrid,Severus Snape,2
Rubeus Hagrid,Violet,1
Rubeus Hagrid,Filius Flitwick,1
Rubeus Hagrid,Minerva McGonagall,3
Rubeus Hagrid,Albus Dumbledore,6
Rubeus Hagrid,Fred Weasley,2
Rubeus Hagrid,Charles Weasley,1
Rubeus Hagrid,Norberta,2
Rubeus Hagrid,Firenze,1
Rubeus Hagrid,Fang,4
Oliver Wood,Blythe Parkin,1
Oliver Wood,George III,1
Oliver Wood,Alicia Spinnet,1
Oliver Wood,Angelina Johnson,1
Oliver Wood,Charles Weasley,1
Blythe Parkin,Angelina Johnson,1
Lucius Malfoy,Crabbe,2
Lucius Malfoy,Severus Snape,2
Lucius Malfoy,Albus Dumbledore,1
Lucius Malfoy,Goyle,1
Lucius Malfoy,Fang,1
Healer (Diagon Alley),Quirinus Quirrell,1
Crabbe,Severus Snape,1
Crabbe,Draco Malfoy,1
Crabbe,Goyle,2
Peter James,Minerva McGonagall,1
Peter James,Albus Dumbledore,2
Quirinus Quirrell,Severus Snape,6
Quirinus Quirrell,Violet,3
Quirinus Quirrell,Minerva McGonagall,2
Quirinus Quirrell,Albus Dumbledore,2
Severus Snape,Violet,3
Severus Snape,Minerva McGonagall,3
Severus Snape,Albus Dumbledore,3
Severus Snape,Draco Malfoy,1
Severus Snape,Goyle,1
Violet,Albus Dumbledore,1
Filius Flitwick,Minerva McGonagall,3
Filius Flitwick,Percy Weasley,1
Minerva McGonagall,Albus Dumbledore,6
Minerva McGonagall,Charles Weasley,1
Minerva McGonagall,Norberta,1
Albus Dumbledore,Bane,1
Albus Dumbledore,Firenze,1
George III,Fred Weasley,5
George III,Charles Weasley,1
Draco Malfoy,Goyle,1
Bane,Firenze,1
Charles Weasley,Norberta,1
Charles Weasley,William Weasley,4
