country_iso3,merchandise_of_gdp,area,population,industry_of_gdp,continent,agriculture_forestry_fishing_of_gdp,life_expectancy,landlocked,colonizer,net_barter_of_trade,inflation_rate,langoff_1,gni_atlas,foreign_direct_investment_inflows,happiness,gdp_us_dollar,gdp_growth,gdp_per_capita
BGD,47.1501647240183,143998,149273134,25.0452996007551,Asia,16.8099867573503,70.256,0,GBR,57.47437649,11.3951651552399,Bengali,133342217808.458,1264725163.33408,0.702,128637938711.0,6.464379123,861.762162181077
BGR,105.931360066023,110994,7348328,25.0746261038118,Europe,4.64163500145713,74.1634146341463,0,NONE,106.992395,4.21990346601875,Bulgarian,53055186216.2556,2103810000.0,0.456,57386216850.0,2.354556923,7809.42506245471
BHR,112.521996303142,678,1278153,49.5171903881701,Asia,0.290850277264325,76.2,0,GBR,138.7356468,-0.400040697488052,Arabic,23212673261.2075,780851063.829787,0.577,28776595745.0,1.983515012,22514.202716483
BIH,90.6476283908872,51233,3661173,22.1932593254568,Europe,6.75774577677582,76.219,0,NONE,101.9771048,3.67124999999999,Serbo-Croatian,18340665911.0296,471610992.220788,0.592,18644723861.0,0.9595112472,5092.55472521264
BLR,141.161141759833,207595,9473172,36.0887890771209,Europe,8.00175755504565,70.5536585365854,0,NONE,110.2279572,53.2286983118173,Belarussian,59335003902.1047,4002400000.0,0.437,61757788945.0,5.37870745,6519.23019498892
BOL,67.958841888504,1098581,10212951,30.3691066361261,America,9.7695858816954,68.521,1,NONE,181.1220112,9.88446419823887,Spanish,20429831915.6059,858941070.400943,0.773,23963033431.0,5.204092308,2346.3378439235
BRA,18.8442708987175,8511920,197514541,23.102056242361,America,4.34203511988559,73.921,0,NONE,134.179349,6.63644962213085,Portuguese,2188989722562.72,102427228231.42,0.853,2616200980392.0,3.974425406,13245.6120301146
BWA,85.6828014704467,600372,2015406,35.0464653041146,Africa,2.51091768009965,61.91,1,GBR,82.76717855,8.45987233408587,English,13312727615.7648,293208060.474684,0.732,15351972361.0,6.048361455,7617.31004132551
CAF,20.5087590921589,622984,4418639,26.6383554299084,Africa,37.5690227836114,47.95,1,FRA,76.73652007,1.19447572449849,French,2341223148.37222,36908455.8896,0.524,2437982840.0,4.194615337,551.749691833885
CAN,51.0211014884086,9976139,34339328,27.1393405983891,America,1.76566446625627,81.4487804878049,0,NONE,117.8183923,2.91213508872355,English,1620451332415.4,38338330427.428,0.911,1788647906048.0,3.146881372,52223.696112356
CHE,61.3594923573866,41288,7912398,25.2795684493631,Europe,0.670935894205478,82.6951219512195,1,NONE,103.6055837,0.231349207650894,German,651068739003.502,20764483834.5029,0.907,699579638413.0,1.692808513,91254.0347609687
CHL,61.8956459942552,756945,17233584,34.701322001914,America,3.67120659392567,78.986,0,NONE,217.8286291,3.34121694259299,Spanish,212599041048.838,25564944876.5765,0.792,252251992029.0,6.110918829,14637.2334407887
CHN,48.2270401920596,9572378,1344130000,46.5292894700168,Asia,9.17765379535199,74.708,0,NONE,79.04874299,5.55389892257492,Chinese,6783868514298.71,280072219149.935,0.785,7551500124203.0,9.550832179,5618.13226711491
CMR,38.5253691825243,475442,20906392,27.1917734843232,Africa,13.4796522667294,55.581,0,DEU,162.0134115,2.93969946305094,French,28301211348.4838,653266626.571786,0.576,29375448542.0,4.129277161,1405.0941234837
COG,133.272381880612,342000,4394842,65.8738951997526,Africa,3.98393619152519,60.785,0,FRA,211.3521221,1.75958704273802,French,11888355208.9593,298288001.186385,0.3,15655384440.0,2.205919363,3557.5561698838
COL,33.1840673361087,1141748,45662747,33.3021551703247,America,6.09169610822214,75.655,0,NONE,183.9168246,3.41758959146978,Spanish,288298910920.525,14647048638.4496,0.831,334943871932.0,6.947891982,7335.16693447605
COM,29.6162706984114,1862,706578,11.6973085985464,Africa,30.5642208431509,62.24,0,NONE,97.90297633,1.84266300756184,Arabic,993296175.694369,23118440.5401981,0.681,1023086184.0,4.099846955,1447.9452695898
CRI,62.2693413482054,51076,4633086,22.5898706745828,America,5.59987212230861,78.919,0,NONE,99.8176767,4.87814554580439,Spanish,37492156415.4824,2733268839.98155,0.251,42262697840.0,4.30710166,9229.83451670274
CYP,38.0766239191744,9251,1124837,12.7616461579395,Europe,2.1512815738882,79.621,0,NONE,96.55800006,3.28944939564212,Greek,27699896670.6139,40445860585.079,0.737,27565469098.0,0.4014379411,32396.3857437121
CZE,137.245272930456,78864,10496088,33.6505738219241,Europe,1.98251099186352,77.8731707317073,1,NONE,102.7946126,1.91721913635547,Czech,204241686348.433,4188736491.29368,0.249,229562733399.0,1.760359624,21871.2660754128
DEU,72.8781041162014,357325,80274983,27.0689719182049,Europe,0.910022423855418,80.4365853658537,0,DEU,93.15072087,2.07517452479837,German,3790949464137.69,97535403952.55,0.865,3744408602684.0,3.925192705,46644.776027968
DNK,60.3270660381327,43094,5570572,20.2546986056117,Europe,1.31213398990708,79.8,0,NONE,100.0856174,2.75868226051246,Danish,345316374125.449,13558894634.3461,0.647,344003137611.0,1.336777767,61753.647131977
DOM,44.6340018131851,48734,9813219,28.3955428840411,America,5.63686024937601,72.284,0,NONE,100.2990038,5.79671466946105,Spanish,54323476321.159,2197500000.0,0.293,58029750744.0,3.133423005,5913.42664885493
DZA,60.3640647190591,2381741,36661438,49.6247703075793,Africa,8.11059043573339,75.199,0,FRA,262.5470485,4.52421150505276,Arabic,168503780186.533,2571237024.68517,0.542,200254371997.0,2.9,5455.67902952706
ECU,58.983309388498,275716,15243885,37.6346398733428,America,9.60111666656407,75.289,0,NONE,167.2646926,4.47453265795836,Spanish,74306191580.7519,646084358.687904,0.837,79276664000.0,7.868140919,5200.55510783504
EGY,37.8961498067245,1001449,84529251,35.9517175990081,Africa,13.8691050980964,70.543,0,GBR,148.8186622,10.0649259874818,Arabic,216784268952.982,-482700000.0,0.522,235989672978.0,1.764571949,2791.81076592794
ESP,46.1975625200227,505954,46742697,22.0811402539851,Europe,2.37327299407857,82.4756097560976,0,ESP,90.06163588,3.19614641224106,Spanish,1446763629297.07,26832032514.651,0.804,1478772824224.0,-0.8143734552,31636.4463142558
EST,146.04927425752,45227,1327439,25.4901539015155,Europe,3.64664306166828,76.2292682926829,0,NONE,96.53669807,4.9819013145361,Estonian,21228875686.6824,1119148299.05952,0.558,23391530006.0,7.443936104,17624.0445588254
ETH,36.8387546550886,1127127,90139928,9.6646421928884,Africa,41.2499638574537,62.505,1,ITA,145.3578014,32.0147888188887,Amharic,35237153539.824,628624805.998665,0.732,31952763089.0,11.17829623,354.4795719088
FIN,59.3677534981451,336593,5388272,25.0310609198073,Europe,2.32123556803604,80.4707317073171,0,NONE,88.13399445,3.42,Swedish,270247052544.513,-6008001205.17497,0.857,275243697751.0,2.547664838,51081.9976703127
FRA,46.0088502465644,547026,65342789,17.978166208294,Europe,1.6502871934041,82.1146341463415,0,FRA,89.9334023,2.11159795174997,French,2898076657272.04,44205811126.5792,0.768,2861408170265.0,2.192700633,43790.7260166781
GAB,73.7549274185716,267667,1684629,60.8812104603294,Africa,3.43228977977158,62.168,0,FRA,226.3663882,1.2633170783742,French,13678642470.7344,1123536918.98497,0.456,18210308748.0,7.091753343,10809.6849503904
GBR,44.7884147366718,244110,63258810,18.7163018080994,Europe,0.696988990694164,80.9512195121951,0,GBR,101.0184871,3.85611244682819,English,2597504876826.65,27012050072.3452,0.873,2659310054646.0,1.540147403,42047.6142522206
GEO,61.2545812776947,69700,3756441,17.9546052192616,Asia,9.13194158257682,71.773,0,NONE,140.9235456,8.54293333333334,Georgian,13215697560.6618,1170087549.5,0.527,15107441447.0,7.399999867,4021.74330617286
GHA,72.7629736251465,238538,25387713,23.8636600934779,Africa,23.663704967184,61.381,0,GBR,190.2175968,8.72683683123394,English,35138937517.1185,3247588000.0,0.8,39337314810.0,14.04712363,1549.46271883345
GIN,52.1581201660178,245857,10420459,32.6143980733776,Africa,16.069749632643,57.387,0,FRA,114.8774737,21.3504664236733,French,7089756956.68709,956060000.0,0.648,6785137173.0,5.612104279,651.136113367479
GRC,35.5537488915781,131621,11104899,14.377117800521,Europe,3.11375165365917,80.7317073170732,0,NONE,89.8408118,3.3298640617472,Greek,272186673087.837,1092191387.83039,0.471,287797821676.0,-9.132494172,25450.5341194438
GTM,57.628496306513,108889,14521515,27.9436212267543,America,11.2587427520036,71.861,0,NONE,258.2402996,6.21412393067094,Spanish,42189530753.3286,876760590.0,0.851,47654783852.0,4.162048937,3228.0457411296
HND,107.863694087476,112088,8480670,25.8142160143128,America,14.2196558016976,73.569,0,NONE,213.8256444,6.76227957314765,Spanish,15911357155.6639,1042571020.7703,0.813,17710315006.0,3.835690662,2088.3155465311
HRV,57.5667363387379,56538,4280622,22.4199780007417,Europe,3.68296629648846,76.7756097560976,0,NONE,100.8375595,2.27272727272727,Serbo-Croatian,60080283859.0919,1248979435.63125,0.614,62537851352.0,-0.1983692635,14609.5243524166
HTI,29.1111793515244,27750,10100320,24.5925797826128,America,20.0431184952698,60.879,0,NONE,273.8508193,6.33279483849046,French,12467813133.3394,119000000.0,0.634,13008748132.0,6.154225158,1287.95405805707
HUN,151.490138572,93032,9971727,25.1366480663597,Europe,4.00038229565524,74.8585365853659,1,NONE,97.81680877,3.92992098935075,Hungarian,132081576026.664,10740966550.9834,0.635,141759722464.0,1.937107794,14216.1656114334
IDN,42.6591465057498,1933658,245115988,43.9134234267133,Asia,13.5122870743946,69.542,0,NLD,134.2163952,5.36,Indonesian,737717018641.036,20564938226.7185,0.859,892969107923.0,6.169784208,3643.04717619274
IND,42.0924840461063,3287590,1250287939,30.1616797630696,Asia,17.1919735574898,67.13,0,GBR,89.99256996,8.85836096636667,English,1704431329269.92,36498654597.8589,0.667,1823050405350.0,5.241344743,1458.10406619626
IRL,80.938521827632,70285,4580084,24.6723848164374,Europe,1.21045539236455,80.7463414634146,0,NONE,95.71018889,2.5571888318692,English,192137469166.104,23699352432.596,0.895,237472361734.0,0.3434411125,51886.5084852792
IRN,33.3628976246081,1648100,74634959,47.9220542846223,Asia,5.44726700369876,74.352,0,NONE,184.2908369,26.2933856738609,Persian,512572512670.496,4276718690.0,0.609,580764902917.0,2.645717918,7781.40580096573
IRQ,70.5406388710808,437072,30725305,62.5480287876873,Asia,4.56377343749618,68.848,0,GBR,238.5196939,5.80145537085299,Arabic,152546531890.741,2082000000.0,0.454,185470085470.0,7.5464712,6045.4945669195
ISL,66.9311022193534,102819,319014,22.3658536476198,Europe,6.60042661433499,82.3585365853659,0,NONE,88.72937642,4.00102664343116,Icelandic,11996825193.6397,1106958185.40328,0.907,15158548263.0,1.88162028,47714.5922308485
ISR,53.7883174443565,21621,7765800,20.7463992737259,Asia,1.56785041493559,81.6560975609756,0,NONE,91.49836583,3.47857270934193,Hebrew,244264259255.945,8653000000.0,0.713,261468634287.0,4.783497509,33610.6940289761
ITA,47.2098266699967,301323,59379449,21.7497036250001,Europe,1.88342627816685,82.1878048780488,0,ITA,94.03176162,2.78063272879324,Italian,2250324124279.08,34465481829.5319,0.581,2291991045770.0,0.707333347,38599.0622070322
JAM,55.8130314128614,10991,2825932,18.2490235366752,America,5.64728677796925,74.012,0,NONE,92.15338569,7.55585646580907,English,12978090979.6079,172757165.409787,0.834,14444655300.0,1.730376267,5111.46598710697
JOR,91.2337891894932,91862,7662858,26.7946689561015,Asia,3.50500375059406,73.581,0,GBR,78.81172359,4.16244162927781,Arabic,27766547042.4819,1486056338.02817,0.61,29524149165.0,2.737179832,3852.89002548782
JPN,27.260657973478,377801,127833000,26.8817083953574,Asia,1.0754189233601,82.5912195121951,0,JPN,61.59802886,-0.267633600966946,Japanese,5992371028551.48,-850717035.068239,0.786,6157459594824.0,-0.1154213398,48167.9972684965
KAZ,62.9414929838657,2717300,16557202,37.2660880953566,Asia,4.9889741557576,68.69,1,NONE,232.0804198,8.42488761919795,Kazakh,137043512953.322,13760291528.5034,0.654,192626507972.0,7.400000001,11634.0012021103
KEN,48.9542767822588,582646,43178270,18.9069378338439,Africa,26.3046046638708,61.851,0,GBR,92.13262128,14.0224939638475,English,42878433152.7165,1450460112.22249,0.771,41953433591.0,6.10826372,971.633036511422
KGZ,100.681437159668,198500,5514600,27.4490880946162,Asia,16.56531665018,69.6024390243903,1,NONE,128.2204491,16.6363262731496,Kyrgyz,4850547002.70823,685760800.0,0.657,6197766119.0,5.956274309,1123.8831680627
KHM,124.743354607075,181035,14541421,22.1418106043407,Asia,34.5573140316336,67.043,0,FRA,67.73943785,5.47858730411899,Khmer,11790473010.7872,1538883424.90021,0.814,12829541141.0,7.069569946,882.275613986936
KOR,86.1480328301884,99484,49936638,34.4509672575549,Asia,2.20919995518876,80.5682926829269,0,JPN,51.05174842,4.02584624959385,Korean,1177848647578.97,9773000000.0,0.608,1253223044719.0,3.685667782,25096.2638838239
KWT,82.5563415391273,17818,3168054,72.7057014119484,Asia,0.438823407677764,74.55,0,GBR,220.7903647,4.8394034987095,Arabic,138718795423.659,3259067552.4562,0.751,154068115942.0,9.628406975,48631.7834045849
LBN,66.1555255083281,10452,5202022,14.5062160702885,Asia,3.80460970717627,78.507,0,FRA,98.07527278,4.97148571692381,Arabic,39350341123.556,3137050288.4,0.557,39927125961.0,0.8673398773,7675.30893971499
LBR,58.8407005838199,111369,4017446,8.30011676396997,Africa,44.3005004170142,60.146,0,USA,149.2426781,8.48816751849397,English,2100467508.25232,2086006933.33333,0.613,2398000000.0,8.20076584,596.89663532503
LBY,77.9840674215495,1759540,6247438,80.0,Africa,1.0,71.956,0,ITA,209.0821118,15.5184815317562,Arabic,29324434748.1896,0.0,0.631,34699395524.0,-62.07591958,5554.18005326459
LKA,46.7203458206856,65610,20398496,27.9956667878927,Asia,8.83166396340375,75.614,0,GBR,99.79717962,6.7167684358854,Sinhala,58046838743.5935,955920000.0,0.848,65292753005.0,8.404733021,3200.86113238282
LSO,142.357491199497,30355,2003793,33.1994946050199,Africa,4.54393031933864,46.207,1,GBR,73.8478424,5.03663052101557,English,2724709458.51853,61173319.2085146,0.796,2622336148.0,5.355154953,1287.26953644869
LTU,137.413412785793,65300,3028115,28.0787490107662,Europe,3.49019426022174,73.5634146341464,0,NONE,93.88788638,4.13027562645087,Lithuanian,40322490383.0204,1880811089.20549,0.462,43582248870.0,6.03900816,14376.9478643932
LUX,82.8702715202826,2586,518347,11.1886704688833,Europe,0.252350036648048,80.9878048780488,1,NONE,77.90731105,3.4106834106834,French,39529908915.6949,8843156716.781,0.86,60004630234.0,2.539235768,115761.507705096
LVA,103.683791222843,64589,2059709,21.0060361029564,Europe,3.29022139171058,73.5756097560976,0,NONE,104.8307651,4.37073559939221,Latvian,27129835572.4081,1519518896.45563,0.418,28619991392.0,6.46884995,13776.0887766199
MAR,65.034715935211,710850,32781860,26.6121352019384,Africa,13.1199875133676,74.696,0,FRA,104.8920643,0.906924909691796,Arabic,99886556938.8133,2521362080.65559,0.654,101370474295.0,5.245697297,3046.94785427611
MDA,88.039962899103,33700,2859833,20.910720433661,Europe,11.3842529585114,70.119,0,NONE,73.629551,7.68725103356185,Romanian,7804603746.59099,358990000.0,0.526,8414360656.0,5.818166405,2942.25594861529
MDG,38.9116138117537,587041,21743970,10.9749695582762,Africa,29.050202128158,63.836,0,FRA,76.8064817,9.48254048582997,French,10455694661.5275,815534454.532063,0.448,11551821062.0,1.578429421,531.265498542052
MEX,60.1984972016312,1967210,115695468,33.556801094017,America,3.08846155393052,75.011,0,NONE,118.426444,3.40737824605736,Spanish,1076966686703.36,23835278742.0,0.819,1180489601958.0,3.66300793,10203.4212952716
MKD,109.62548418091,25713,2072484,21.5924220032487,Europe,9.35099292094117,74.846,1,NONE,86.30003013,3.90475422069738,Macedonian,9964101945.17915,507920732.789,0.664,10494632699.0,2.339886045,5063.88590630977
MLI,44.0627166578842,1240142,15514593,20.6490800268912,Africa,34.5586305785061,55.701,1,FRA,185.7572616,2.95564395229391,French,11388476033.1155,556147161.584486,0.712,12995074801.0,3.21313378,837.605820999201
MLT,110.790460950395,316,416268,16.3378778862183,Europe,0.991911789935635,80.7463414634146,0,NONE,136.1128881,2.96298528192878,English,9208106312.81586,7806911229.55319,0.809,9638916472.0,0.4670505643,23155.5547893882
MMR,33.7167725169205,678500,50990612,31.2916488307023,Asia,32.4961825024034,63.983,0,GBR,107.90628,5.02146014620726,Burmese,53026403361.1973,2519813313.27459,0.75,59977326086.0,5.591482378,1061.92341090353
MNG,109.665916520104,1565500,2770357,31.3337485626924,Asia,10.3073568180221,67.818,1,NONE,207.0824438,8.41121495327101,Mongolian,7173895893.6219,4571161962.80891,0.753,10409797649.0,17.29077758,3757.56541460408
MOZ,68.9494409329661,801590,24187500,16.5265916451718,Africa,25.7515292714485,53.043,0,PRT,101.7156638,11.1666056127874,Portuguese,13169392418.457,3663937118.45157,0.644,14381552433.0,7.417384316,594.586147098683
MRT,77.1068870742465,1030700,3598646,44.107903772358,Africa,14.5158947387598,62.799,0,FRA,163.9744581,5.68631959575963,Arabic,5751463903.04753,588749564.2399,0.804,6764635687.0,4.172783283,1879.77247186677
MUS,66.9710290128143,2045,1252404,21.5997725671184,Africa,3.70364769678842,73.2668292682927,0,NONE,98.68258119,6.52249254869339,English,10513944316.5011,433331010.9385,0.732,11518393367.0,4.077538074,9197.04299089459
MWI,48.138426350224,118484,14962118,15.4137365919801,Africa,28.7723804157092,57.161,1,GBR,101.9605141,7.62282262848515,English,7378702705.272,812751769.848633,0.771,8004000737.0,4.854055109,534.951050199388
MYS,139.471812471414,329758,28650962,39.8242687277964,Asia,11.4533531198278,74.683,0,GBR,114.7991949,3.17447092151309,Malay,259323021077.674,15119439203.9543,0.882,297951960784.0,5.293912834,10399.3702125714
NER,39.2114340697603,1267000,17114770,22.7795105220039,Africa,33.6467642815211,58.081,1,FRA,182.0304457,2.94238514013317,French,8957171125.45614,1067186136.05029,0.707,8772951262.0,2.357756936,512.595335012861
NGA,42.4698075454665,923768,162805080,28.2777998870502,Africa,22.2347109927204,51.346,0,GBR,219.1989891,10.8400275418866,English,354203612186.534,8841062050.7726,0.829,404993594134.0,5.307924204,2487.59801680379
NIC,107.301231573617,130670,5903035,23.1573616566978,America,18.884220035313,72.692,0,NONE,278.5234735,8.0823879809911,Spanish,9288049465.95668,936300000.0,0.772,9774262742.0,6.316709606,1655.81805473253
NLD,139.529538870774,41863,16693074,20.0661480812905,Europe,1.57897407431895,81.2048780487805,0,NLD,91.78790653,2.3410701775137,Dutch,909377432301.668,332071022439.732,0.844,904085980796.0,1.551189312,54159.3466126142
NOR,50.4118701555134,323752,4953088,37.0265440080382,Europe,1.34465673332777,81.2951219512195,0,NONE,157.4123989,1.28495158809159,Norwegian,447431714513.559,10296323075.6966,0.749,498283438454.0,0.9814694973,100600.562407589
NPL,30.9549984678486,147181,27041220,13.5851934741107,Asia,30.7373089937796,68.028,1,GBR,71.99152515,9.22707546125953,Nepali,17140728777.7741,94022157.1167852,0.739,18913574371.0,3.421828241,799.583376878379
NZL,44.4312775672448,268676,4384000,20.9947189297031,Pacific,6.28423893909166,80.9048780487805,0,NONE,130.9674814,4.02790667392038,English,141300796292.842,1378410924.39879,0.216,168510189201.0,2.358784916,38387.6270784076
OMN,104.772361275533,212379,3251102,71.5049154509604,Asia,1.25647475829366,75.916,0,GBR,230.3003528,4.04218867116396,Arabic,55317440045.35,1629144343.30299,0.893,67872692582.0,2.658868673,20876.5850396107
PAK,32.4902104321192,882872,183340168,20.5017880943991,Asia,25.1291827073544,65.562,0,GBR,50.45370633,11.9160927116277,Urdu,188901063104.206,1326000000.0,0.682,213587413184.0,2.748405917,1164.97882332035
PAN,104.816901246029,75648,3706479,19.8372839919046,America,3.22923814081681,76.989,0,NONE,180.4503124,5.87580243678762,Spanish,31682545161.8804,4395600000.0,0.898,34686200000.0,11.31373175,9358.26157385486
PER,48.9765657046099,1285216,29264314,37.2361002771383,America,7.10011013658205,74.697,0,NONE,203.2808837,3.36931095333853,Spanish,145319767106.28,7682261108.57854,0.776,171761737047.0,6.327192402,5869.32388186462
PHL,47.818063289947,300000,95570049,31.3386827828469,Asia,14.0957351510823,69.984,0,ESP,75.11144806,4.71841704718416,English,240920805259.123,2007150725.40003,0.913,234216730704.0,3.858232828,2450.73569408545
POL,75.5805490876543,312685,38063255,29.5788982086579,Europe,3.08506431236907,76.6951219512195,0,NONE,99.34090465,4.23940149625935,Polish,490459987925.055,18534000000.0,0.64,528301269070.0,4.757638004,13879.5609852546
PRT,58.2167543311327,92389,10557560,19.3449680402193,Europe,1.83401602752623,80.4707317073171,0,PRT,90.98701987,3.65301100430729,Portuguese,239863725937.725,9821076889.908,0.779,244797226567.0,-1.696164781,23186.9131283278
PRY,59.6304586516203,406752,6333981,33.7057682962777,America,14.1250204425197,72.86,1,NONE,113.2161519,8.25396825396825,Spanish,28372393236.168,463994000.0,0.755,33715524704.0,4.249111045,5329.38743682686
QAT,81.5233384096972,11437,2035862,73.2142657935366,Asia,0.0966060405058313,79.26,0,GBR,213.0959302,1.13836623529203,Arabic,136293375595.567,938516483.516483,0.833,167775268614.0,13.37517641,82409.9416434106
RUS,41.3427544275876,17075400,142960908,29.4135888383738,Asia,3.1507257212962,69.6839024390244,0,NONE,194.4982951,8.44046485932559,Russian,1581315059114.0,55083630000.0,0.484,2045925608274.0,4.300029186,14311.0843159612
RWA,36.3753245066492,26338,10293333,18.1489624599224,Africa,23.8500827456247,64.523,1,DEU,181.854096,3.1,French,6715587196.26133,112127535.812557,0.708,6884889636.0,7.958406046,668.494672193863
SAU,73.9356798723291,2153168,28267591,63.6763624880147,Asia,2.17142778334318,74.089,0,GBR,148.2665575,5.82621608838853,Arabic,590301258923.33,16308280000.0,0.689,671238840108.0,9.996846552,23745.8805777495
SDN,33.5606299632224,2505813,35349676,23.3344425286602,Africa,31.9629818007982,63.171,0,GBR,246.9933386,18.0966171221351,Arabic,54781390214.4242,1734376994.48388,0.606,57060450038.0,-1.967695859,1437.77983086377
SEN,47.4394575995592,196722,13033814,23.3061329625455,Africa,12.9470610352017,64.898,0,FRA,106.0818813,3.40322829786967,French,16952273724.0501,338661995.579347,0.775,17902207622.0,1.458388671,1366.77450070807
SGP,277.526313416792,646,5183688,25.2604463868213,Asia,0.0346645211472078,81.7439024390244,0,NONE,81.87670111,5.2477933984048,English,250305666349.915,49155657316.2946,0.572,279351168707.0,6.337870814,53890.4287270504
SLE,70.245272337373,73326,6563238,7.869629662271,Africa,54.5934658718491,50.234,0,GBR,65.86315799,6.78819444444446,English,2804879453.52486,950477791.380298,0.295,2942546781.0,6.315045036,448.337662148696
SUR,92.8254912814835,163820,535177,35.1093274287296,America,8.73235538333795,70.676,0,NONE,140.5565891,17.7117796414557,Dutch,4240262227.33456,145288761.2,0.656,4422276622.0,5.849367784,8263.20380320348
SVK,161.338254531613,49036,5398384,31.0354117998344,Europe,2.1627257821802,75.9585365853659,1,NONE,91.96647031,3.91928599146294,Slovak,94151475568.686,5431592591.915,0.589,99122802874.0,2.847218178,18361.5694760083
SVN,136.292608658633,20256,2052843,26.8088279393627,Europe,2.14260566834084,79.9707317073171,0,NONE,94.35868968,1.80285171941907,Slovenian,50448720263.6115,875946337.676014,0.733,51516366655.0,0.8613277327,25095.1322896197
SWE,63.4023223326953,449964,9449213,23.6323618761744,Europe,1.67048248278859,81.8024390243903,0,NONE,92.83549928,2.96115073822139,Swedish,535794524390.346,6979353755.44351,0.791,574094112973.0,3.195333235,60755.7595508465
SWZ,80.0746893998211,17364,1072029,36.7774895543568,Africa,9.71988478106542,48.141,1,GBR,119.0191438,6.10742714590245,Swati,4134675879.88919,98708321.7157849,0.815,4820499497.0,2.247229761,4496.61296226253
TCD,66.5444793771431,1284005,12360986,12.6090044327778,Africa,51.1962001303935,51.424,1,FRA,217.8429308,2.02924053678257,French,10947483947.616,281900000.0,0.515,12172309523.0,0.08286979844,984.736130484829
TGO,86.9215086051715,56785,6595939,17.1220637287378,Africa,29.8750736235753,58.092,0,DEU,115.1477638,3.56351472903955,French,4056487873.27388,728710878.416044,0.362,3872459250.0,6.398199052,587.097492827983
THA,121.720523608315,513115,67518379,37.9813982711097,Asia,11.5917917775207,74.593,0,NONE,93.82092079,3.80879058139634,Thai,334256150195.235,2473685995.7,0.936,370819140947.0,0.8401320831,5492.12149993341
TJK,68.4222479390511,143095,7697507,22.4687490647166,Asia,23.8355098416752,69.055,1,NONE,102.3762515,12.4315490430408,Tajik,7848532740.44985,145883670.0,0.751,6522732203.0,7.400640543,847.382432066315
TKM,70.4675028506271,488100,5174076,65.8692912440737,Asia,8.88435455800276,66.928,1,NONE,223.4511001,5.3,Turkmen,24454791710.4832,3391067000.0,0.596,29233333333.0,14.69999993,5649.96210595541
