source,target,weight
AZE,BHR,7.93
AZE,COL,4.454
AZE,KAZ,58281.45
AZE,GEO,535250.1390000001
AZE,KOR,444220.064
AZE,IDN,913152.74
AZE,COG,25.953
AZE,DZA,2242.278
AZE,SGP,887.0959999999998
AZE,EGY,161089.03100000002
AZE,BGR,410410.54
AZE,GAB,10.491
AZE,ITA,9340999.120999996
AZE,AUS,106.936
AZE,CHE,86083.93000000001
AZE,CZE,203903.811
AZE,AFG,100194.128
AZE,IRN,144828.67199999996
AZE,MLT,268578.335
AZE,GHA,66.293
AZE,LBN,32327.809
AZE,CAN,225.70800000000003
AZE,SWE,601.081
AZE,SLE,32.661
AZE,LBY,0.76
AZE,MAR,99243.829
AZE,TJK,13212.105999999998
AZE,MYS,663989.9079999999
AZE,PER,1.35
AZE,FRA,4036652.603
AZE,CYP,68022.22600000001
AZE,GIN,39010.89
AZE,ZAF,0.01
AZE,KGZ,21151.314
AZE,QAT,24.258000000000003
AZE,BEL,2888.887
AZE,ARG,13421.756999999998
AZE,KWT,60.132
AZE,TTO,0.52
AZE,TZA,3.439
AZE,IND,366848.392
AZE,SVN,6.257
AZE,NOR,269.2799999999999
AZE,TUR,455760.982
AZE,MNG,483.588
AZE,FIN,69.012
AZE,ARE,13756.684
AZE,LUX,130.914
AZE,MEX,32.264
AZE,PAN,46.389
AZE,PAK,7.332
AZE,LTU,5026.093
LSO,AUT,150.57
LSO,THA,3.1980000000000004
LSO,POL,1.097
LSO,NLD,1014.354
LSO,DEU,3162.504
LSO,SDN,198.132
LSO,VNM,3095.025
LSO,GRC,31.016
LSO,BGD,181.237
LSO,BWA,1848.733
LSO,SAU,24.052
LSO,ISR,8.116999999999999
LSO,MOZ,176.084
LSO,TUN,136.743
LSO,BRA,3.391
LSO,LKA,63.479
LSO,JPN,2209.168
LSO,PHL,3.989
LSO,KEN,232.55300000000005
LSO,UGA,7.804
LSO,AGO,777.7810000000001
LSO,RUS,23.228
LSO,COM,64.141
LSO,CHN,2455.995
LSO,GBR,1444.6220000000003
LSO,ZWE,492.534
LSO,PRT,164.67
LSO,USA,313345.81000000006
LSO,KOR,28.137
LSO,IDN,2.441
LSO,COG,85.948
LSO,SGP,18.193
LSO,ZMB,31.758
LSO,EGY,3742.122
LSO,BGR,65.984
LSO,MUS,2784.678
LSO,AUS,2592.71
LSO,CHE,231.241
LSO,GHA,85.47500000000001
LSO,CAN,43231.828
LSO,SLE,69.395
LSO,MAR,268.217
LSO,MYS,6.4270000000000005
LSO,PER,10.155
LSO,ISL,1.54
LSO,ZAF,311617.89
LSO,SWZ,5322.447999999999
LSO,CHL,14.11
LSO,BEL,23258.423
LSO,TZA,729.425
LSO,IND,85.525
LSO,NOR,0.354
LSO,TUR,77.27099999999999
LSO,PRY,5.019
LSO,ARE,5419.14
LSO,MEX,359.171
LSO,PAN,6.107
LSO,PAK,60.211
JOR,NPL,109.855
JOR,LBR,1412.793
JOR,AZE,1670.9740000000002
JOR,AUT,6195.289
JOR,RWA,286.454
JOR,THA,32287.736000000004
JOR,NZL,266.125
JOR,POL,969.857
JOR,ECU,1239.668
JOR,NLD,38148.385
JOR,DEU,15184.912
JOR,SDN,83589.031
JOR,BDI,107.441
JOR,ESP,39710.38999999999
JOR,VNM,4017.283
JOR,HUN,7111.135
JOR,GRC,17644.069999999996
JOR,HRV,276.556
JOR,BGD,5084.450999999999
JOR,MDA,242.338
JOR,NGA,4686.515
JOR,ARM,99.985
JOR,DOM,448.302
JOR,SEN,260.69
JOR,UKR,17270.134000000002
JOR,KHM,1178.692
JOR,ALB,448.845
JOR,SAU,679773.0490000002
JOR,ISR,113316.565
JOR,MOZ,10580.344
JOR,TUN,21490.342
JOR,JAM,339.40700000000004
JOR,BRA,1638.7869999999998
JOR,EST,194.666
JOR,LKA,6025.542000000001
JOR,JPN,46700.86400000001
JOR,OMN,40688.707
JOR,DNK,1053.4829999999995
JOR,PHL,44689.998
JOR,KEN,7982.048000000001
JOR,UGA,1474.7560000000003
JOR,GTM,947.676
JOR,AGO,291.086
JOR,NER,50.699
JOR,LVA,50.635
JOR,RUS,23050.984
JOR,MKD,27.663
JOR,CHN,203415.473
JOR,IRQ,1213816.7350000003
JOR,GBR,36909.23099999999
JOR,UZB,33.675
JOR,TKM,6.777
JOR,ZWE,13.073
JOR,SVK,2057.574
JOR,BIH,542.8720000000001
JOR,PRT,3214.725
JOR,USA,1039581.8360000004
JOR,TGO,2675.4
JOR,IRL,854.399
JOR,BHR,52005.16299999999
JOR,COL,937.857
JOR,KAZ,961.832
JOR,BEN,314.059
JOR,GEO,618.97
JOR,KOR,33034.689
JOR,IDN,221243.345
JOR,HND,369.939
JOR,COG,334.107
JOR,DZA,126929.84100000004
JOR,SGP,7110.611
JOR,ZMB,1058.178
JOR,EGY,125536.50799999996
JOR,ETH,101323.85199999996
JOR,HTI,87.578
JOR,BGR,42559.98499999999
JOR,MLI,91.891
JOR,MUS,2935.8010000000004
JOR,GAB,1044.4299999999998
JOR,ITA,70407.07100000001
JOR,AUS,6861.812000000002
JOR,CMR,235.88
JOR,CHE,80652.69900000001
JOR,CZE,1028.896
JOR,AFG,1900.285
JOR,BOL,70.75999999999999
JOR,MMR,82.451
JOR,IRN,15523.969
JOR,MLT,9.108
JOR,GHA,1853.77
JOR,LBN,334626.766
JOR,CAN,13662.939
JOR,SWE,8893.443000000001
JOR,LBY,25977.887999999995
JOR,MAR,15889.752999999995
JOR,CRI,72.23100000000001
JOR,TJK,29.958
JOR,MYS,112638.689
JOR,MDG,44.901
JOR,MRT,514.085
JOR,PER,930.011
JOR,FRA,6528.99
JOR,CYP,1668.206
JOR,GIN,156.503
JOR,MWI,18.946
JOR,ISL,44.273
JOR,ZAF,23162.116
JOR,KGZ,32.954
JOR,NIC,704.848
JOR,QAT,93038.5
JOR,URY,229.961
JOR,CHL,421.367
JOR,BFA,57.759
JOR,BEL,21575.164
JOR,ARG,362.914
JOR,KWT,143594.63900000002
JOR,TZA,1339.451
JOR,IND,871200.9260000002
JOR,TCD,64.955
JOR,SVN,497.94
JOR,NOR,14.318
JOR,TUR,98134.412
JOR,MNG,5.624
JOR,FIN,35.552
JOR,PRY,59.916
JOR,ARE,291034.17500000005
JOR,LUX,38.131
JOR,MEX,25178.168000000005
JOR,PAN,1135.322
JOR,PAK,20103.407999999992
JOR,YEM,28496.753
JOR,LTU,55.523
AUT,NPL,1911.7519999999995
AUT,LBR,5486.96
AUT,AZE,123168.121
AUT,LSO,1.392
AUT,JOR,70174.921
AUT,RWA,270.341
AUT,THA,290204.62400000007
AUT,NZL,109659.14000000004
AUT,POL,4417237.577
AUT,ECU,34273.438
AUT,NLD,2449485.784
AUT,DEU,50299778.344
AUT,SDN,30494.657
AUT,BDI,165.304
AUT,ESP,2533058.7800000007
AUT,VNM,130310.67999999998
AUT,HUN,4950417.181999999
AUT,GRC,572233.4660000002
AUT,HRV,1507963.9340000013
AUT,BGD,32325.275999999994
AUT,MDA,44182.942
AUT,BWA,3508.268
AUT,NGA,143747.354
AUT,ARM,48092.232
AUT,DOM,13521.511
AUT,SEN,20524.537
AUT,UKR,879017.0989999999
AUT,KHM,1422.594
AUT,ALB,100299.62300000002
AUT,SAU,716556.925
AUT,ISR,355542.38499999995
AUT,BLR,240193.123
AUT,MOZ,2923.909
AUT,TUN,111428.71200000004
AUT,JAM,5048.059000000001
AUT,BRA,1157776.7490000003
AUT,EST,129076.775
AUT,LKA,36703.388
AUT,JPN,1571151.0069999995
AUT,OMN,73147.715
AUT,DNK,828204.8319999999
AUT,PHL,107544.45199999996
AUT,KEN,24795.33599999999
AUT,UGA,5640.788
AUT,GTM,23555.428000000004
AUT,AGO,22146.861
AUT,NER,686.6769999999999
AUT,LVA,160177.02500000008
AUT,RUS,3892322.441
AUT,MKD,139000.51100000006
AUT,COM,39.49
AUT,CHN,3685497.5550000006
AUT,IRQ,266710.5159999999
AUT,GBR,4555797.372
AUT,UZB,63397.24800000001
AUT,TKM,66684.30799999999
AUT,ZWE,1175.687
AUT,SVK,3232061.215999999
AUT,BIH,423935.7809999996
AUT,PRT,377471.3799999999
AUT,USA,8029695.333
AUT,TGO,4172.8820000000005
AUT,IRL,242064.48000000004
AUT,BHR,16314.124000000002
AUT,COL,134492.374
AUT,KAZ,254135.50900000008
AUT,BEN,9888.470000000005
AUT,GEO,73706.29199999999
AUT,KOR,1085927.3700000003
AUT,IDN,263826.6980000001
AUT,HND,9968.598
AUT,COG,2081.8590000000004
AUT,DZA,193434.8450000001
AUT,SGP,447943.5389999998
AUT,ZMB,6342.565999999999
AUT,EGY,245202.999
AUT,ETH,16117.917999999998
AUT,HTI,2269.1540000000005
AUT,BGR,824770.7960000002
AUT,MLI,41824.18800000001
AUT,MUS,13609.24
AUT,GAB,30262.51200000001
AUT,ITA,11257111.251999998
AUT,AUS,905695.9889999996
AUT,CMR,10899.875000000004
AUT,CHE,8699570.681000004
AUT,CZE,6279949.083999996
AUT,AFG,12742.86
AUT,BOL,9681.373
AUT,MMR,11899.875
AUT,IRN,365297.544
AUT,MLT,43295.502000000015
AUT,GHA,38577.72899999999
AUT,LBN,78600.11099999998
AUT,CAN,1023444.7349999998
AUT,SWE,1755502.8700000006
AUT,SLE,557.2930000000001
AUT,LBY,36443.50200000001
AUT,MAR,120204.824
AUT,CRI,16111.866000000004
AUT,TJK,6059.606
AUT,MYS,446201.2249999999
AUT,MDG,1147.0780000000002
AUT,MRT,17669.697999999997
AUT,PER,62895.576999999976
AUT,FRA,6412440.993000001
AUT,CYP,165436.536
AUT,GIN,484.381
AUT,SUR,3142.334999999999
AUT,MWI,213.132
AUT,ISL,38749.93399999999
AUT,ZAF,674689.914
AUT,KGZ,13309.681000000004
AUT,NIC,1631.6900000000005
AUT,QAT,126568.93599999996
AUT,SWZ,10.944
AUT,URY,17530.827999999998
AUT,CHL,191810.29
AUT,BFA,2552.307
AUT,BEL,2224034.0879999995
AUT,ARG,157826.348
AUT,KWT,103742.48700000002
AUT,TTO,14104.611
AUT,TZA,22954.62600000001
AUT,IND,1014721.6620000008
AUT,TCD,4776.870999999998
AUT,SVN,2981994.313
AUT,NOR,561023.2440000001
AUT,CAF,114.42300000000002
AUT,TUR,1454222.354
AUT,MNG,20250.198000000004
AUT,FIN,604669.4820000001
AUT,PRY,9191.996
AUT,ARE,678615.5680000001
AUT,LUX,188782.7740000001
AUT,MEX,507981.2729999999
AUT,PAN,30724.086000000003
AUT,PAK,89817.52100000002
AUT,YEM,13009.549
AUT,LTU,200686.765
RWA,LBR,5.081
RWA,JOR,181.07
RWA,AUT,231.286
RWA,THA,4.992999999999999
RWA,NZL,0.693
RWA,POL,167.457
RWA,NLD,1009.439
RWA,DEU,2512.397
RWA,SDN,10212.81
RWA,BDI,8501.658
RWA,ESP,641.3090000000001
RWA,VNM,737.105
RWA,HUN,18.113
RWA,GRC,24.577
RWA,BGD,2.699
RWA,MDA,18.807
RWA,BWA,1.234
RWA,NGA,7.677
RWA,SEN,93.773
RWA,UKR,4.984
RWA,ISR,96.17
RWA,MOZ,68.066
RWA,TUN,37.24
RWA,JAM,451.541
RWA,BRA,2.001
RWA,EST,177.301
RWA,JPN,1052.698
RWA,OMN,17.505
RWA,DNK,5.934
RWA,PHL,0.597
RWA,KEN,63633.78699999999
RWA,UGA,7293.765999999999
RWA,AGO,39.557
RWA,CHN,17541.308
RWA,GBR,17365.842
RWA,ZWE,11.522
RWA,PRT,45.269
RWA,USA,9964.391
RWA,BHR,560.373
RWA,KAZ,1.4
RWA,BEN,24.611
RWA,GEO,6.789
RWA,KOR,143.005
RWA,IDN,7.893
RWA,COG,194.129
RWA,SGP,88.938
RWA,ZMB,39.528
RWA,EGY,53.635
RWA,ETH,518.252
RWA,HTI,3395.336
RWA,BGR,34.716
RWA,MLI,2.124
RWA,GAB,21.612
RWA,ITA,3316.7480000000005
RWA,AUS,3584.723000000001
RWA,CMR,89.75399999999999
RWA,CHE,75527.764
RWA,CZE,16.288
RWA,AFG,2.184
RWA,GHA,171.72500000000002
RWA,CAN,167.231
RWA,SWE,534.793
RWA,MYS,4389.456
RWA,MDG,8.413
RWA,MRT,1.745
RWA,FRA,47504.899
RWA,GIN,128.482
RWA,MWI,43.903
RWA,ZAF,1128.101
RWA,SWZ,155.65800000000002
RWA,CHL,9.964
RWA,BFA,1444.654
RWA,BEL,46817.515
RWA,KWT,196.3
RWA,TZA,1544.43
RWA,IND,434.08699999999993
RWA,TCD,3.756
RWA,SVN,1064.106
RWA,NOR,486.143
RWA,CAF,1.761
RWA,FIN,61.677
RWA,ARE,3254.07
RWA,LUX,1654.3099999999995
RWA,PAK,84.57300000000001
THA,NPL,64447.772
THA,LBR,35868.732
THA,AZE,6552.905
THA,LSO,137.606
THA,JOR,174790.21200000003
THA,AUT,213711.587
THA,RWA,2877.301
THA,NZL,854341.405
THA,POL,647441.908
THA,ECU,267598.37700000004
THA,NLD,4551700.994
THA,DEU,3762497.474999997
THA,SDN,111899.894
THA,BDI,1212.612
THA,ESP,1129260.8609999996
THA,VNM,7059026.109999999
THA,HUN,357512.316
THA,GRC,160740.071
THA,HRV,36338.389
THA,BGD,1215506.1480000005
THA,MDA,1040.3909999999998
THA,BWA,3749.735
THA,NGA,1092866.39
THA,ARM,12385.140999999998
THA,DOM,187951.73100000003
THA,SEN,180363.38600000003
THA,UKR,175685.59600000002
THA,KHM,2905395.1629999992
THA,ALB,5086.786
THA,SAU,2254562.99
THA,ISR,735657.614
THA,BLR,43857.49900000001
THA,MOZ,158408.936
THA,TUN,249799.95600000003
THA,JAM,34767.745
THA,BRA,2263002.244
THA,EST,86894.32299999999
THA,LKA,486897.4200000001
THA,JPN,24070186.702
THA,OMN,580086.126
THA,DNK,754675.6040000004
THA,PHL,4640542.287000002
THA,KEN,190523.179
THA,UGA,17729.113999999998
THA,GTM,90955.366
THA,AGO,179909.632
THA,NER,25699.631
THA,LVA,51703.485000000015
THA,RUS,1149435.393
THA,MKD,3441.8710000000005
THA,COM,3729.712
THA,CHN,27368371.649999995
THA,IRQ,677388.531
THA,GBR,3886713.944
THA,UZB,8860.235000000002
THA,TKM,6981.298000000001
THA,ZWE,19927.605
THA,SVK,123648.16000000002
THA,BIH,10407.72
THA,PRT,170771.26299999998
THA,USA,21890860.928999998
THA,TGO,156535.54
THA,IRL,295758.39
THA,BHR,140444.725
THA,COL,366139.417
THA,KAZ,60393.92399999999
THA,BEN,132182.39100000003
THA,GEO,29792.497000000003
THA,KOR,4575425.258999999
THA,IDN,10070141.627000006
THA,HND,60938.59700000001
THA,COG,113622.49500000004
THA,DZA,248351.435
THA,SGP,11447499.665999996
THA,ZMB,7796.356000000001
THA,EGY,770079.2420000001
THA,ETH,72083.307
THA,HTI,23098.160000000007
THA,BGR,38397.48999999999
THA,MLI,9322.488
THA,MUS,96070.35400000002
THA,GAB,57918.46799999998
THA,ITA,1865341.832
THA,AUS,7996525.608000004
THA,CMR,136189.72699999998
THA,CHE,4911381.795000002
THA,CZE,951233.261
THA,AFG,192361.739
THA,BOL,24207.73
THA,MMR,2845719.269999999
THA,IRN,984008.017
THA,MLT,24601.705
THA,GHA,377463.7839999999
THA,LBN,156264.35300000003
THA,CAN,1710619.5429999998
THA,SWE,645596.764
THA,SLE,16853.539
THA,LBY,99375.293
THA,MAR,166246.183
THA,CRI,78021.505
THA,TJK,1565.5859999999998
THA,MYS,12394011.747999996
THA,MDG,47854.662
THA,MRT,35621.045
THA,PER,305370.7679999999
THA,FRA,1959055.379
THA,CYP,39403.62500000001
THA,GIN,30204.847
THA,SUR,17038.581000000002
THA,MWI,3377.8080000000004
THA,ISL,5933.896000000001
THA,ZAF,2202089.129
THA,KGZ,598.557
THA,NIC,30095.393
THA,QAT,286270.34
THA,SWZ,21645.742
THA,URY,79337.531
THA,CHL,517065.694
THA,BFA,23733.075
THA,BEL,1775973.9520000005
THA,ARG,715785.2799999999
THA,KWT,340790.106
THA,TTO,80692.461
THA,TZA,95839.32899999995
THA,IND,5165390.267000005
THA,TCD,3502.5900000000006
THA,SVN,76808.80899999998
THA,NOR,184298.006
THA,CAF,548.126
THA,TUR,1249784.0660000006
THA,MNG,12731.591
THA,FIN,415568.3389999999
THA,PRY,59282.99800000001
THA,ARE,2760984.4829999995
THA,LUX,5094.759
THA,MEX,1276961.0990000002
THA,PAN,208814.424
THA,PAK,898364.7909999999
THA,YEM,186360.879
THA,LTU,56451.30100000001
NZL,NPL,13121.299
NZL,LBR,1175.566
NZL,AZE,68081.205
NZL,JOR,66991.456
NZL,AUT,16624.804
NZL,RWA,8.505
NZL,THA,731740.5590000001
NZL,POL,17234.079
NZL,ECU,4083.012
NZL,NLD,621306.1039999999
NZL,DEU,774773.709
NZL,BDI,10.227
NZL,ESP,238780.835
NZL,VNM,424686.57
NZL,HUN,8531.132
NZL,GRC,72223.985
NZL,HRV,4576.165
NZL,BGD,158388.44299999997
NZL,MDA,93.869
NZL,BWA,69.961
NZL,NGA,270775.873
NZL,ARM,21405.495
NZL,DOM,20784.973
NZL,SEN,20929.785
NZL,UKR,32570.463
NZL,KHM,5606.618
NZL,ALB,2839.8770000000004
NZL,SAU,691296.3169999999
NZL,ISR,16243.433
NZL,BLR,326.15
NZL,MOZ,5091.166
NZL,TUN,5364.386
NZL,JAM,42131.003
NZL,BRA,56533.42100000001
NZL,EST,2323.357
NZL,LKA,345017.56999999995
NZL,JPN,3327881.3529999987
NZL,OMN,78803.95700000002
NZL,DNK,229841.706
NZL,PHL,756567.9619999999
NZL,KEN,8745.99
NZL,UGA,314.0150000000001
NZL,GTM,20677.958
NZL,AGO,39030.821
NZL,NER,601.1840000000001
NZL,LVA,6878.35
NZL,RUS,280226.561
NZL,MKD,555.918
NZL,CHN,5805632.831
NZL,IRQ,5155.856
NZL,GBR,1539242.8470000003
NZL,UZB,7537.702
NZL,TKM,1718.1439999999998
NZL,ZWE,3839.514
NZL,SVK,423.141
NZL,PRT,47382.96599999999
NZL,USA,3996391.435000001
NZL,TGO,2005.647
NZL,IRL,45881.257000000005
NZL,BHR,68544.62700000001
NZL,COL,12625.731
NZL,KAZ,2547.398
NZL,BEN,936.753
NZL,GEO,16795.394
NZL,KOR,1674042.6809999996
NZL,IDN,855734.5169999999
NZL,HND,5399.035
NZL,COG,3088.414
NZL,DZA,500144.269
NZL,SGP,795353.5259999998
NZL,ZMB,1488.378
NZL,EGY,312635.699
NZL,ETH,618.6080000000001
NZL,HTI,1739.544
NZL,BGR,5634.9220000000005
NZL,MLI,8885.616
NZL,MUS,80543.77
NZL,GAB,4939.999
NZL,ITA,453730.7060000002
NZL,AUS,10773472.386000002
NZL,CMR,15176.949
NZL,CHE,87214.822
NZL,CZE,8092.445
NZL,AFG,1211.097
NZL,BOL,1346.172
NZL,MMR,19980.772
NZL,IRN,257029.45600000003
NZL,MLT,7077.094999999999
NZL,GHA,88912.59700000001
NZL,LBN,12670.969
NZL,CAN,597288.5150000001
NZL,SWE,72424.10799999998
NZL,SLE,1300.993
NZL,LBY,15513.042
NZL,MAR,81631.31200000003
NZL,CRI,2132.298
NZL,TJK,4593.207
NZL,MYS,871489.5690000001
NZL,MDG,696.312
NZL,MRT,3648.250000000001
NZL,PER,79315.97100000002
NZL,FRA,455993.243
NZL,CYP,19358.775
NZL,GIN,928.931
NZL,SUR,336.119
NZL,MWI,225.199
NZL,ISL,1156.1280000000002
NZL,ZAF,180564.963
NZL,KGZ,35.616
NZL,NIC,36149.344
NZL,QAT,25595.975
NZL,SWZ,15.0
NZL,URY,15579.009999999998
NZL,CHL,62157.272
NZL,BFA,328.36
NZL,BEL,403027.0340000001
NZL,ARG,22325.567000000003
NZL,KWT,97433.00600000002
NZL,TTO,63155.013000000006
NZL,TZA,3577.554
NZL,IND,514978.01199999993
NZL,TCD,107.041
NZL,SVN,1028.5190000000002
NZL,NOR,36526.346
NZL,TUR,69089.90299999998
NZL,MNG,20820.363000000005
NZL,FIN,36029.01500000001
NZL,PRY,520.2520000000001
NZL,ARE,557421.3940000001
NZL,LUX,801.919
NZL,MEX,414839.75000000006
NZL,PAN,33531.583000000006
NZL,PAK,79628.763
NZL,YEM,41411.869
NZL,LTU,13945.578
POL,NPL,840.1809999999998
POL,LBR,61868.07399999999
POL,AZE,126247.06100000002
POL,JOR,40426.62099999999
POL,AUT,3614725.0780000007
POL,RWA,6.209
POL,THA,173160.37299999996
POL,NZL,64279.307
POL,ECU,13905.373
POL,NLD,8192510.750999999
POL,DEU,48854357.192
POL,SDN,7836.968999999997
POL,BDI,23.135
POL,ESP,4534565.751000001
POL,VNM,130240.04099999994
POL,HUN,4839699.642999999
POL,GRC,829658.9920000001
POL,HRV,446855.4489999999
POL,BGD,26584.989000000016
POL,MDA,189324.87399999995
POL,BWA,978.0840000000002
POL,NGA,88613.83100000003
POL,ARM,22717.806000000008
POL,DOM,9270.514
POL,SEN,26877.231000000003
POL,UKR,4687997.465
POL,KHM,5475.197
POL,ALB,27431.17200000001
POL,SAU,276444.565
POL,ISR,392762.90700000006
POL,BLR,1856205.1509999996
POL,MOZ,15981.373
POL,TUN,67123.281
POL,JAM,3237.139999999999
POL,BRA,376021.067
POL,EST,1046022.9759999996
POL,LKA,18424.860999999997
POL,JPN,564639.743
POL,OMN,20672.066000000003
POL,DNK,3412318.0670000003
POL,PHL,40261.314000000006
POL,KEN,23175.081
POL,UGA,8472.714000000004
POL,GTM,6458.755999999999
POL,AGO,12290.904
POL,NER,1676.201
POL,LVA,1140555.397
POL,RUS,8531450.483000001
POL,MKD,52089.50099999999
POL,COM,264.608
POL,CHN,1860808.4829999988
POL,IRQ,94207.085
POL,GBR,12169123.951
POL,UZB,114292.607
POL,TKM,24631.008
POL,ZWE,570.126
POL,SVK,4549090.594
POL,BIH,152096.63400000002
POL,PRT,660393.6089999999
POL,USA,3692785.224999998
POL,TGO,13429.293999999994
POL,IRL,542598.7110000001
POL,BHR,11146.12
POL,COL,52834.48000000001
POL,KAZ,493424.8550000001
POL,BEN,27218.442000000003
POL,GEO,64047.55299999996
POL,KOR,416274.6879999999
POL,IDN,120952.567
POL,HND,1539.927
POL,COG,10036.946000000002
POL,DZA,353543.49100000004
POL,SGP,574147.5120000002
POL,ZMB,3136.623
POL,EGY,195739.148
POL,ETH,3155.4260000000004
POL,HTI,1025.101
POL,BGR,591314.2529999999
POL,MLI,1909.424
POL,MUS,4169.79
POL,GAB,7234.022000000001
POL,ITA,10081019.202999998
POL,AUS,374505.743
POL,CMR,15441.519
POL,CHE,1669204.673
POL,CZE,11674769.041999996
POL,AFG,15973.343
POL,BOL,1381.0780000000002
POL,MMR,2179.42
POL,IRN,90373.413
POL,MLT,86447.678
POL,GHA,39514.44400000002
POL,LBN,52047.51000000001
POL,CAN,792558.873
POL,SWE,5363981.352
POL,SLE,4546.519
POL,LBY,10663.021
POL,MAR,198948.003
POL,CRI,8136.498000000001
POL,TJK,8010.880999999999
POL,MYS,165301.99799999996
POL,MDG,537.79
POL,MRT,8117.062000000001
POL,PER,36581.47499999999
POL,FRA,11534247.658999996
POL,CYP,316030.341
POL,GIN,19924.235
POL,SUR,6912.8910000000005
POL,MWI,970.1470000000002
POL,ISL,44242.432
POL,ZAF,528257.226
POL,KGZ,102466.29300000003
POL,NIC,1378.6540000000005
POL,QAT,21199.079
POL,SWZ,4.093
POL,URY,31425.701999999997
POL,CHL,48227.497
POL,BFA,1966.874
POL,BEL,4364135.436
POL,ARG,101557.11700000004
POL,KWT,36718.73600000001
POL,TTO,1429.3089999999995
POL,TZA,21321.762000000013
POL,IND,523546.8819999997
POL,TCD,1365.693
POL,SVN,640574.4290000001
POL,NOR,3818895.906
POL,CAF,369.654
POL,TUR,3291156.757
POL,MNG,49662.848
POL,FIN,1406909.8850000002
POL,PRY,2818.464
POL,ARE,342603.651
POL,LUX,281290.528
POL,MEX,432346.5240000001
